"rank","artist","title","releaseYear","listHighestRank","listYear","listWeek","listNumWeeksBest","listNumWeeks","listType"
1,"Queen","Bohemian Rhapsody",1975,1,1976,2,3,24,"top40"
2,"Eagles","Hotel California",1977,8,1977,21,1,14,"top40"
3,"Led Zeppelin","Stairway To Heaven",1971,,,,,,""
4,"Billy Joel","Piano Man",1974,,,,,,""
5,"Deep Purple","Child In Time",1972,9,1975,39,1,22,"top40"
6,"Boudewijn de Groot","Avond",1997,5,1997,14,1,4,"tip"
7,"David Bowie","Heroes",1977,8,1977,52,2,12,"top40"
8,"Claudia de Breij","Mag Ik Dan Bij Jou",2011,29,2014,6,1,5,"top40"
9,"Pink Floyd","Wish You Were Here",1975,,,,,,""
10,"Pearl Jam","Black",1991,,,,,,""
11,"Coldplay","Fix You",2005,3,2005,40,1,7,"tip"
12,"John Lennon","Imagine",1971,5,1981,10,2,18,"top40"
13,"Prince & The Revolution","Purple Rain",1984,1,1984,44,4,15,"top40"
14,"Bruce Springsteen","The River",1981,12,1981,25,2,7,"top40"
15,"Metallica","Nothing Else Matters",1992,5,1992,22,4,14,"top40"
16,"Pink Floyd","Comfortably Numb",1979,,,,,,""
17,"Guns N' Roses","November Rain",1992,4,1992,40,2,18,"top40"
18,"The Beach Boys","God Only Knows",1966,11,1966,38,1,8,"top40"
19,"Dire Straits","Brothers In Arms",1985,,,,,,""
20,"Pink Floyd","Shine On You Crazy Diamond",1975,,,,,,""
21,"AC/DC","Thunderstruck",1990,6,1990,47,2,10,"top40"
22,"Golden Earring","Radar Love",1973,1,1973,37,3,13,"top40"
23,"Simon & Garfunkel","The Sound Of Silence",1966,10,1966,7,1,13,"top40"
24,"Racoon","Oceaan",2012,6,2013,6,1,27,"top40"
25,"Metallica","One",1994,3,1994,21,5,14,"top40"
26,"Dire Straits","Sultans Of Swing",1978,10,1978,36,1,8,"top40"
27,"Meat Loaf","Paradise By The Dashboard Light",1978,1,1978,51,3,23,"top40"
28,"Johnny Cash","Hurt",2003,,,,,,""
29,"Leonard Cohen","Hallelujah",1984,,,,,,""
30,"Toto","Africa",1982,2,1982,33,1,10,"top40"
31,"U2","One",1992,11,1992,13,1,6,"top40"
32,"Nirvana","Smells Like Teen Spirit",1991,3,1992,1,3,15,"top40"
33,"Coldplay","Viva La Vida",2009,1,2008,40,3,31,"top40"
34,"Pearl Jam","Just Breathe",2009,14,2010,2,1,11,"top40"
35,"Queen","Innuendo",1991,4,1991,7,2,9,"top40"
36,"Coldplay","Clocks",2003,2,2003,18,2,17,"top40"
37,"The Alan Parsons Project","Old And Wise",1982,19,1983,2,1,6,"top40"
38,"David Bowie","Space Oddity",1969,4,1975,50,2,17,"top40"
39,"The Beatles","Hey Jude",1968,1,1968,37,7,21,"top40"
40,"The Cure","A Forest",1980,31,1980,36,2,4,"top40"
41,"Coldplay","The Scientist",2002,4,2002,49,1,6,"tip"
42,"Guus Meeuwis","Brabant",2004,8,2003,12,1,6,"tip"
43,"Fleetwood Mac","Go Your Own Way",1977,1,1977,13,3,13,"top40"
44,"Pearl Jam","Alive",1992,13,1992,10,1,7,"top40"
45,"Amy Winehouse","Back To Black",2006,18,2011,33,1,3,"top40"
46,"The Doors","Riders On The Storm",1971,7,1971,34,1,9,"top40"
47,"Adele","Someone Like You",2011,3,2011,24,2,25,"top40"
48,"Supertramp","School",1974,33,1990,14,1,3,"top40"
49,"U2","Sunday Bloody Sunday",1985,3,1985,43,1,11,"top40"
50,"Red Hot Chili Peppers","Under The Bridge",1992,1,1992,14,3,15,"top40"
51,"Guns N' Roses","Sweet Child O' Mine",1988,24,1989,39,1,10,"top40"
52,"Simon & Garfunkel","Bridge Over Troubled Water",1970,5,1970,12,2,12,"top40"
53,"Dire Straits","Telegraph Road",1982,,,,,,""
54,"Phil Collins","In The Air Tonight",1981,1,1981,12,3,12,"top40"
55,"Wim Sonneveld","Het Dorp",1974,27,1974,23,1,5,"top40"
56,"Otis Redding","(Sittin' On) The Dock Of The Bay",1968,6,1968,11,3,17,"top40"
57,"Paolo Nutini","Iron Sky",2014,30,2015,5,1,3,"top40"
58,"Queen","Somebody To Love",1976,1,1977,2,3,13,"top40"
59,"U2","With Or Without You",1987,2,1987,16,2,12,"top40"
60,"The Rolling Stones","Sympathy For The Devil",1973,14,1973,44,1,5,"top40"
61,"The Rolling Stones","Paint It Black",1966,1,1966,24,7,25,"top40"
62,"Metallica","Enter Sandman",1991,12,1991,38,1,8,"top40"
63,"Acda En De Munnik","Het Regent Zonnestralen",1998,3,1999,7,1,8,"tip"
64,"Queen","Love Of My Life",1975,,,,,,""
65,"AC/DC","Highway To Hell",1979,27,1979,35,1,4,"top40"
66,"Pink Floyd","Another Brick In The Wall",1979,3,1980,3,2,11,"top40"
67,"Dire Straits","Private Investigations",1982,1,1982,40,4,11,"top40"
68,"The Beatles","Let It Be",1970,1,1970,12,1,9,"top40"
69,"Ramses Shaffy & Liesbeth List","Pastorale",1969,3,1969,43,3,14,"top40"
70,"Rage Against The Machine","Killing In The Name Of",1992,16,1993,41,1,8,"top40"
71,"The Animals","The House Of The Rising Sun",1964,,,,,,""
72,"Adele","Hello",2015,1,2015,44,5,21,"top40"
73,"AC/DC","Whole Lotta Rosie",1978,3,1978,28,1,13,"top40"
74,"Robbie Williams","Angels",1998,14,1998,11,1,14,"top40"
75,"Radiohead","Creep",1993,17,1993,25,3,8,"top40"
76,"Snow Patrol","Chasing Cars",2006,24,2006,42,1,7,"top40"
77,"Billy Joel","Goodnight Saigon",1983,1,1983,5,3,11,"top40"
78,"The Rolling Stones","Angie",1973,1,1973,42,4,23,"top40"
79,"Electric Light Orchestra","Mr. Blue Sky",1978,11,1978,9,2,10,"top40"
80,"R.E.M.","Losing My Religion",1991,1,1991,17,3,13,"top40"
81,"Klein Orkest","Over De Muur",1984,10,1984,30,1,13,"top40"
82,"Dotan","Home",2014,2,2014,28,4,25,"top40"
83,"Eric Clapton","Tears In Heaven",1992,17,1992,13,1,10,"top40"
84,"Adele","Make You Feel My Love",2008,3,2009,7,2,21,"top40"
85,"The Verve","Bitter Sweet Symphony",1997,11,1997,33,1,9,"top40"
