"rank","artist","releaseYear"
1,"Queen",1975
2,"Eagles",1977
3,"Led Zeppelin",1971
4,"Billy Joel",1974
5,"Deep Purple",1972
6,"Pearl Jam",1991
7,"Pink Floyd",1975
8,"Coldplay",2005
9,"Boudewijn de Groot",1997
10,"Guns N' Roses",1992
11,"David Bowie",1977
12,"Pink Floyd",1979
13,"AC/DC",1990
14,"Claudia de Breij",2011
15,"Metallica",1992
16,"John Lennon",1971
17,"Dire Straits",1985
18,"Prince",1984
19,"Bruce Springsteen",1981
20,"Johnny Cash",2003
21,"Golden Earring",1973
22,"Pink Floyd",1975
23,"Metallica",1994
24,"Racoon",2012
25,"Toto",1982
26,"Dire Straits",1978
27,"Meat Loaf",1978
28,"Simon & Garfunkel",1966
29,"The Beach Boys",1966
30,"Pearl Jam",2009
31,"Coldplay",2009
32,"U2",1992
33,"Fleetwood Mac",1977
34,"Nirvana",1991
35,"The Alan Parsons Project",1982
36,"Guns N' Roses",1988
37,"Pearl Jam",1992
38,"Queen",1991
39,"Coldplay",2002
40,"Linkin Park",2001
41,"U2",1987
42,"The Cure",1980
43,"AC/DC",1979
44,"Supertramp",1974
45,"Klein Orkest",1984
46,"Coldplay",2003
47,"U2",1985
48,"Phil Collins",1981
49,"The Doors",1971
50,"Guus Meeuwis",2004
51,"The Rolling Stones",1973
52,"Paolo Nutini",2014
53,"Dire Straits",1982
54,"Disturbed",2016
55,"Electric Light Orchestra",1978
56,"Red Hot Chili Peppers",1992
57,"Amy Winehouse",2006
58,"Simon & Garfunkel",1970
59,"AC/DC",1978
60,"Kensington",2016
61,"The Beatles",1968
62,"Wim Sonneveld",1974
63,"Metallica",1991
64,"Rage Against The Machine",1992
65,"Radiohead",1993
66,"Queen",1976
67,"The Rolling Stones",1966
68,"Robbie Williams",1998
69,"Dire Straits",1982
70,"The Rolling Stones",1973
71,"U2",1987
72,"Queen",1975
73,"R.E.M.",1991
74,"Otis Redding",1968
75,"Eric Clapton",1992
76,"David Bowie",1969
77,"The Animals",1964
78,"Snow Patrol",2006
79,"The Beatles",1970
80,"The Rolling Stones",1969
81,"Billy Joel",1983
82,"Acda & De Munnik",1998
83,"The Verve",1997
84,"Supertramp",1977
85,"Elvis Presley",1969
86,"Ramses Shaffy",1969
86,"Liesbeth List",1969
87,"The Beatles",1965
88,"Foo Fighters",2007
89,"Adele",2011
90,"Pink Floyd",1979
91,"Stef Bos",1991
92,"ABBA",1976
93,"Metallica",1986
94,"Queen",1979
95,"Van Dik Hout",1994
96,"Muse",2009
97,"Bette Midler",1980
98,"Leonard Cohen",1984
99,"Simple Minds",1989
100,"Oasis",1995
101,"Queen",1981
101,"David Bowie",1981
102,"Falco",1985
103,"Ed Sheeran",2017
104,"Eagles",1976
105,"The Beatles",1969
106,"Eagles",1973
107,"Queen",1986
108,"Ramses Shaffy",1978
109,"Marco Borsato",2008
110,"Sting",1988
111,"Black Sabbath",1970
112,"Neil Young",1972
113,"Michael Jackson",1983
114,"Jeff Buckley",1994
115,"Oasis",1996
116,"Depeche Mode",1990
117,"Procol Harum",1967
118,"Lou Reed",1972
119,"Golden Earring",1984
120,"Kate Bush",1978
121,"The Beatles",1968
122,"Adele",2015
123,"U2",1987
124,"The Moody Blues",1968
125,"Muse",2006
126,"Coldplay",2000
127,"Red Hot Chili Peppers",2000
128,"Dolly Parton",1974
129,"U2",1985
130,"Led Zeppelin",1969
131,"Deep Purple",1973
132,"Frans Halsema",1977
133,"Bob Dylan",1975
134,"Kyteman",2009
135,"George Michael",1993
135,"Queen",1993
136,"Pearl Jam",1991
137,"Ed Sheeran",2014
138,"Adele",2008
139,"Elbow",2008
140,"Simon & Garfunkel",1969
141,"Herman Brood & His Wild Romance",1978
142,"The Scene",1991
143,"Racoon",2005
144,"R.E.M.",1993
145,"Bryan Adams",1984
146,"Eminem",2002
147,"Michael Jackson",1983
148,"Gary Moore",1990
149,"Earth Wind & Fire",1979
150,"Jackson Browne",1977
151,"Foo Fighters",1997
152,"Radiohead",1995
153,"The Amazing Stroopwafels",1982
154,"Aerosmith",1973
155,"Nirvana",1991
156,"A-Ha",1985
157,"Creedence Clearwater Revival",1972
